first_m,first_f,last
,,Nworie
,,David
,,Imam
,,Asogwa
,,Bulus
,,Silas
,,Adah
,,Adama
,,Augustine
,,Labaran
,,Raji
,,Manu
,,Aja
,,Onu
,,Isah
,,Ekpenyong
,,Simon
,,Gidado
,,Adisa
,,Muktar
,,Tasiu
,,Saminu
,,Onuorah
,,Etukudo
,,Yisa
,,Momodu
,,Jibril
,,Onyema
,,Haruna
,,Yerima
,,Mohammed
,,Buba
,,Enyi
,,Busari
,,Lateef
,,Tanimu
,,Bashir
,,Agbor
,,Abbas
,,Gimba
,,Dan
,,Eyo
,,Nweke
,,Sulaiman
,,Osuji
,,Shaaibu
,,Jafaru
,,Sadiya
,,Maigari
,,Mamman
,,Uwakwe
,,Idris
,,Suleman
,,Markus
,,Monday
,,Ekong
,,Balogun
,,Ilori
,,Akomolafe
,,Amadu
,,Okpara
,,Inusa
,,Micheal
,,Rafiu
,,Bashiru
,,Daniel
,,Onuigbo
,,Jubril
,,Yakubu
,,Shaibu
,,Wali
,,Sirajo
,,Nwokocha
,,Maji
,,Adigun
,,Sampson
,,Quadri
,,Sunusi
,,Basiru
,,Jacob
,,Matthew
,,Odeyemi
,,Ubani
,,Onyia
,,Awe
,,Aisha
,,Tiamiyu
,,Amaechi
,,Alao
,,Omo-Agege
,,Shehu
,,Azeez
,,Kazeem
,,Hudu
,,Otu
,,Adam
,,Dogo
,,Okpala
,,Jamiu
,,Hammed
,,Ilesanmi
,,Kolade
,,Egbe
,,Afolayan
,,Sadiq
,,Abe
,,Ojonjoku
,,Ogar
,,Adams
,,Daramola
,,Magaji
,,Kadiri
,,Lucky
,,Ismail
,,Paul
,,Raimi
,,Julius
,,Ossai
,,Arowolo
,,Ede
,,Bolarinwa
,,Michael
,,Segun
,,Onyebuchi
,,Friday
,,Wakili
,,Ibanga
,,Udo
,,Ukaegbu
,,Kasali
,,Eneh
,,Joel
,,Yohana
,,Ikpe
,,Hamisu
,,Oke
,,Yahuza
,,Nnaji
,,Igba
,,William
,,Uchendu
,,Mbam
,,Eke
,,Offor
,,Ekundayo
,,Bakare
,,Onifade
,,Solomon
,,Yakub
,,Sule
,,Goodluck
,,Edward
,,Ozuru
,,Faruku
,,Etuk
,,Ishaya
,,Njoku
,,Kayode
,,Udoh
,,Said
,,West
,,Auwal
,,Adamu
,,Onwukwe
,,Kamilu
,,Isiyaku
,,Gbadebo
,,Nze
,,Halilu
,,Murtala
,,Waziri
,,Abioye
,,Osaigbovo
,,Jamilu
,,Uko
,,Usaini
,,Wada
,,Umoru
,,Aguomba
,,Ummaru
,,Jeremiah
,,Bawa
,,Shitu
,,Ibru
,,Elom
,,Ojo
,,Barde
,,Tanko
,,Moshood
,,Ene
,,Suleiman
,,Ita
,,Lawrence
,,Igbinedion
,,Lazarus
,,Muazu
,,Rasheed
,,Ogbe
,,Uzor
,,Mohammadu
,,Folarin
,,Shuaibu
,,Kolawole
,,Patrick
,,Ogbonna
,,Benson
,,Sabiu
,,Balarabe
,,Kanu
,,Yusufu
,,Alu
,,Bolaji
,,Sahabi
,,Jibrin
,,Yusuf
,,Albert
,,Nwoye
,,Amuda
,,Okechukwu
,,Alonge
,,Asabe
,,Sadi
,,Ibitoye
,,Saadu
,,Uche
,,Okoro
,,Festus
,,Abas
,,Okereke
,,Dauda
,,Okonkwo
,,Isiaka
,,Zakariya
,,Owolabi
,,Amusan
,,Abel
,,Iwuoha
,,Brown
,,Zakariyya
,,Dada
,,Omale
,,Umaru
,,Okoh
,,Okolie
,,Ajadi
,,Nwobodo
,,Igbo
,,Onah
,,Onuoha
,,Auwalu
,,Ezugwu
,,Umeh
,,Akpan
,,Umar
,,Ime
,,Odo
,,Ado
,,Ajah
,,Mba
,,Mubarak
,,Fidelis
,,Josiah
,,Oji
,,Agunbiade
,,Ofem
,,Anene
,,Nwodo
,,Edem
,,Oti
,,Anifowose
,,Ben
,,Amusa
,,Lauwali
,,Yaya
,,Onyeka
,,Haliru
,,Ayinde
,,Ahamed
,,Innocent
,,Lawali
,,Gali
,,Habu
,,Kawu
,,Uzoma
,,Andrew
,,Anthony
,,Rufai
,,Odoh
,,Sada
,,Ummar
,,Saka
,,Lamidi
,,Gambo
,,Sidi
,,Samuel
,,Raheem
,,Lawan
,,Wahab
,,Okpo
,,Folorunsho
,,Tijjani
,,Amadi
,,Dayyabu
,,Idowu
,,Ogba
,,Maazu
,,Osi
,,Abah
,,Moses
,,Nyam
,,Ogwuche
,,Onwe
,,Ameh
,,Mukaila
,,Attah
,,Mukhtar
,,Habibu
,,Thomas
,,Yaro
,,Jauro
,,Habila
,,Awoyemi
,,Ishaka
,,Ada
,,Ode
,,Ajayi
,,Okoronkwo
,,Bulama
,,James
,,Dung
,,John
,,Ekpe
,,Christopher
,,Sambo
,,Tahir
,,Halima
,,Abayomi
,,Adu
,,Ajani
,,Buhari
,,Arinze
,,Shafiu
,,Lasisi
,,Idrisu
,,Charles
,,Halliru
,,Godwin
,,Mbah
,,Amoo
,,Gideon
,,Richard
,,Lukman
,,Lawal
,,Okocha
,,Sulaimon
,,Abimbola
,,Wobo
,,Barau
,,Ajiboye
,,Abraham
,,Daudu
,,Danlami
,,Joseph
,,Jafar
,,Udom
,,Sarki
,,Nathaniel
,,Williams
,,Robert
,,Amachree
,,Tijani
,,Duru
,,Sunday
,,Hauwa
,,Ibeh
,,Alo
,,Nyong
,,Abiola
,,Jack
,,Abbakar
,,Aina
,,Diete-Spiff
,,George
,,Mahammed
,,Nura
,,Oba
,,Mohamed
,,Idoko
,,Ajala
,,Nwosu
,,Anya
,,Mike
,,Jimmy
,,Idiris
,,Ngwu
,,Aminu
,,Etim
,,Emma
,,Yahaya
,,Obodo
,,Wowo
,,Frank
,,Yusif
,,Ishaku
,,Briggs
,,Goni
,,Mohammad
,,Igwe
,,Kasimu
,,Nelson
,,Worlu
,,Tunde
,,Zainab
,,Jackson
,,Ukachukwu
,,Mathias
,,Ismaila
,,Nduka
,,Ogbonda
,,Mudi
,,Modu
,,Linus
,,Edeh
,,Aluko
,,Agbo
,,Akor
,,Uba
,,Effiong
,,Samson
,,Habib
,,Sabo
,,Fasasi
,,Mallam
,,Jude
,,Tukur
,,Alhasan
,,Kabiru
,,Mansir
,,Nweze
,,Kolo
,,Mahmud
,,Archibong
,,Ichendu
,,Elechi
,,Atiku
,,Oko
,,Onoja
,,Komolafe
,,Muritala
,,Felix
,,Waheed
,,Bassey
,,Abba
,,Isa
,,Luka
,,Hamzat
,,Yarima
,,Zaki
,,Ukoma
,,Jonathan
,,Abiodun
,,Elijah
,,Iliyasu
,,Liman
,,Akanbi
,,Henry
,,Kaka
,,Afolabi
Abayomi,Abayomi,Abdu
Abdulkarim,Abdulkarim,Abdul
Abeni,Abeni,Abdulahi
Abidemi,Abidemi,Abdulazeez
Abieyuwa,Abieyuwa,Abdulaziz
Abioye,Abioye,Abdulganiyu
Abraham,Abraham,Abdulhamid
Abubakar,Abubakar,Abdulkadir
Adam,Adam,Abdulkareem
Adamu,Adamu,Abdulkarim
Adella,Adella,Abdullah
Adesiyan,Adesiyan,Abdullahi
Adewale,Adewale,Abdulmalik
Adisa,Adisa,Abdulmumini
Afolabi,Afolabi,Abdulrahaman
Ahmad,Ahmad,Abdulrahman
Ahmadu,Ahmadu,Abdulrazak
Aisha,Aisha,Abdulsalam
Aishatu,Aishatu,Abdulwahab
Akachi,Akachi,Abeni
Akpofure,Akpan,Abidemi
Akuchi,Akpofure,Abieyuwa
Alaba,Akuchi,Abu
Alhaji,Alaba,Abubaka
Alheri,Alhaji,Abubakar
Aliyu,Alheri,Abuh
Amenaghawon,Aliyu,Ade
Amenze,Amenaghawon,Adeagbo
Amin,Amenze,Adebanjo
Anuli,Amin,Adebayo
Asabe,Anuli,Adebisi
Asma,Asabe,Adebiyi
Ayo,Asma,Adebowale
Ayomide,Ayo,Adeboye
Ayuba,Ayomide,Adedayo
Azeez,Ayuba,Adedeji
Babajide,Azeez,Adediran
Balarabe,Babajide,Adedokun
Bamidele,Balarabe,Adedoyin
Bankole,Bamidele,Adegbite
Bello,Bankole,Adegbola
Bilqis,Bello,Adegboye
Bitrus,Bilqis,Adegboyega
Bolanle,Bitrus,Adegoke
Bolavive,Bolanle,Adejumo
Bose,Bolavive,Adekola
Bosede,Bose,Adekoya
Bukar,Bosede,Adekunle
Bukola,Bukar,Adelaja
Bunmi,Bukola,Adelakun
Chidi,Bunmi,Adeleke
Chinelo,Chidi,Adeleye
Chinwe,Chinelo,Ademola
Chuks,Chinwe,Ademu
Dada,Chuks,Adeniji
Dahiru,Dada,Adeniran
Dauda,Dahiru,Adeniyi
Dayo,Dauda,Adenuga
Deedee,Dayo,Adeola
Denny,Deedee,Adeosun
Ebele,Denny,Adeoti
Ebuka,Ebele,Adeoye
Edidiong,Ebuka,Adepoju
Edosa,Edosa,Aderemi
Efe,Efe,Aderibigbe
Efemena,Efemena,Adesanya
Efosa,Efosa,Adeshina
Eghosa,Eghosa,Adesina
Ehi,Ehi,Adesola
Ehimwenma,Ehimwenma,Adetunji
Ejike,Ejike,Adewale
Ejiroghene,Ejiroghene,Adewole
Ekenedilichukwu,Ekenedilichukwu,Adewumi
Ekinadoese,Ekinadoese,Adewunmi
Ekiuwa,Ekiuwa,Adewuyi
Ekundayo,Ekundayo,Adeyanju
Ekwueme,Ekwueme,Adeyemi
Emem,Emem,Adeyemo
Emmanuel deborah,Emmanuel deborah,Adeyeye
Emwinghare,Emwinghare,Adeyinka
Enitan,Enitan,Ahmad
Enoch,Enoch,Ahmadu
Enyinnaya,Enyinnaya,Ahmed
Erharuyi,Erharuyi,Akachi
Ese,Ese,Akindele
Eseoghene,Eseoghene,Akinleye
Esohe,Esohe,Akinola
Esomo,Esomo,Akinpelu
Esosa,Esosa,Akinsanya
Folami,Folami,Akinsola
Folasade,Folasade,Akintayo
Fumnanya,Fumnanya,Akintola
Funke,Funke,Akintunde
Gbemisola,Gbemisola,Akinwale
Hafsa,Hafsa,Akinyemi
Hafsat,Hafsat,Akpofure
Hafsatu,Hafsatu,Akuchi
Halim,Halim,Alaba
Halima,Halima,Alheri
Halimat,Halimat,Ali
Halimatu,Halimatu,Alimi
Hamisu,Hamisu,Aliu
Harun,Harun,Aliyu
Hauwa,Hauwa,Amaka
Hawwa,Hawwa,Amenaghawon
Idehen,Idehen,Amenze
Idemudia,Idemudia,Amin
Idowu,Idowu,Anuli
Ife,Ife,Asma
Ifiok,Ifiok,Ayo
Ifueko,Ifueko,Ayoade
Ifunanya,Ifunanya,Ayodeji
Ige,Ige,Ayodele
Ighayezomo,Ighayezomo,Ayoola
Ijeoma,Ijeoma,Baba
Ikechukwu,Ikechukwu,Babagana
Ikenna,Ikenna,Babajide
Ikeora,Ikeora,Babalola
Imudiase,Imudiase,Babangida
Iniobong,Inyene,Babatunde
Inyene,Ira,Babayo
Ira,Isiuwa,Bamidele
Isiuwa,Isoken,Bello
Isoken,Itoro,Bilqis
Itohan,Ivie,Bolanle
Itoro,Iyabo,Bose
Ivie,Iyekoetin,Bosede
Iyabo,Iziegbe,Bukola
Iyekoetin,Izoduwa,Bunmi
Iziegbe,Izogie,Chidi
Izoduwa,Jamil,Chika
Izogie,Jamila,Chima
Jamil,Jannybliss,Chime
Jamila,Jatau,Chimezie
Jannybliss,Jesuobo,Chinda
Jatau,Job,Chinedu
Jesuobo,Joe,Chuks
Job,Jummai,Chuku
Joe,Katrine,Chukwu
Jummai,Kayin,Chukwudi
Katrine,Kayode,Chukwuemeka
Kayin,Kebe,Chukwuka
Kayode,Kelvin,Chukwuma
Kebe,Khadija,Dayo
Kelvin,Kunle,Ebele
Khadija,Kyauta,Ebere
Kunle,Ladi,Ebuka
Kyauta,Lanre,Edidiong
Ladi,Lateef,Edosa
Lanre,Lawal,Efe
Lateef,Lawali,Efemena
Lawal,Lekan,Efosa
Lawali,Mamman,Eghosa
Lekan,Maryam,Ehi
Mamman,Maryamu,Ehimwenma
Maryam,Mofiyin,Ejiro
Maryamu,Mojisola,Ejiroghene
Mofiyin,Monifa,Ekene
Mojisola,Moses,Ekenedilichukwu
Monifa,Muhammed,Ekinadoese
Moses,Musa,Ekiuwa
Muhammed,Nasir,Ekwueme
Musa,Nasiru,Emeka
Nasir,Ndidi,Emem
Nasiru,Ndifreke,Emenike
Ndidi,Ndubuisi,Emwinghare
Ndifreke,Nekpen,Enitan
Ndubuisi,Nkemdilim,Enoch
Nekpen,Nkiru,Enyinnaya
Nkemdilim,Nkiruka,Erharuyi
Nkiru,Nneka,Ese
Nkiruka,Nnenna,Eseoghene
Nneka,Nnenne,Esohe
Nnenna,Nonso,Esomo
Nnenne,Nosakhare,Esosa
Nonso,Nuhu,Eze
Nosakhare,Nwachukwu,Ezeh
Nuhu,Nwando,Ezekiel
Nwachukwu,Nwanneka,Folami
Nwando,Obi,Folasade
Nwanneka,Obiora,Fumnanya
Obi,Ogechukwu,Funke
Obiora,Ogechukwukamma,Garba
Ogechukwu,Oghenekaro,Garuba
Ogechukwukamma,Oghenero,Gbemisola
Oghenekaro,Oghogho,Hafsa
Oghenero,Ogochukwu,Hafsat
Oghogho,Okafor,Hafsatu
Ogochukwu,Okechukwu,Halim
Okafor,Okeke,Halimat
Okechukwu,Okonkwo,Halimatu
Okeke,Okorie,Harun
Okonkwo,Okoro,Hasan
Okorie,Olabisi,Hashim
Okoro,Oluchi,Hashimu
Olabisi,Oluwakemi,Hassan
Oluchi,Oluwole,Hawwa
Oluwakemi,Omoragbon,Husaini
Oluwole,Omoregbe,Hussain
Omoragbon,Omoruyi,Hussaini
Omoregbe,Omosefe,Hussani
Omoruyi,Omosigho,Ibraheem
Omosefe,Omoteleola,Ibrahim
Omosigho,Omoyemwen,Idehen
Omoteleola,Omozuwa,Idemudia
Omoyemwen,Onyebuchi,Ife
Omozuwa,Onyeka,Ifiok
Onyebuchi,Onyekachi,Ifueko
Onyeka,Onyekachukwu,Ifunanya
Onyekachi,Onyinyechi,Ighayezomo
Onyekachukwu,Opeyemi,Ijeoma
Onyinyechi,Osadebamwen,Ike
Opeyemi,Osagie,Ikechukwu
Osadebamwen,Osagiemwenagbon,Ikenna
Osagiemwenagbon,Osarenmwindamwen,Imudiase
Osarenmwindamwen,Osaretin,Iniobong
Osaretin,Osariemen,Inyene
Osariemen,Osarobo,Isiuwa
Osarobo,Osarodion,Isoken
Osarodion,Osarumwense,Itohan
Osarumwense,Osasumwen,Itoro
Osas,Osatohanmwen,Ivie
Osasere,Osawe,Iyabo
Osasumwen,Osayemwenre,Iyekoetin
Osatohanmwen,Osayimwense,Iziegbe
Osawe,Osayomore,Izoduwa
Osayemwenre,Osayuware,Izogie
Osayimwense,Osaze,Jamil
Osayomore,Osazuwa,Jamila
Osayuware,Osemwengie,Jesuobo
Osaze,Osita,Jummai
Osazuwa,Ositadimma,Kayin
Osemwengie,Otasowie,Khadija
Osita,Otobong,Kunle
Ositadimma,Oyibo,Kyauta
Otasowie,Pink,Ladi
Otobong,Rabiu,Lanre
Oyibo,Rakiya,Lekan
Pink,Rosseuf,Maryamu
Rabiu,Ruqayya,Mojisola
Rakiya,Safiya,Monifa
Rosseuf,Safiyya,Muhamed
Ruqayya,Said,Muhammad
Safiya,Saidu,Muhammadu
Safiyya,Salih,Muhammed
Said,Salihu,Musa
Saidu,Salisu,Musbahu
Salih,Sharon,Mustafa
Salihu,Shehu,Mustapha
Salisu,Shuaibu,Ndidi
Sharon,Shuayb,Ndifreke
Shehu,Simisola,Nekpen
Shuaibu,Stephen,Nkemdilim
Shuayb,Sulaiman,Nkiru
Simisola,Sulayman,Nkiruka
Stephen,Tahir,Nnamani
Sulaiman,Talatu,Nnamdi
Sulayman,Timmy,Nneka
Tahir,Tolulope,Nnenna
Talatu,Tosin,Nnenne
Timmy,Toyin,Nonso
Tolulope,Tunde,Nosakhare
Tosin,Udonkang,Nwabueze
Toyin,Udonsi,Nwachukwu
Tunde,Uduak,Nwadike
Udonkang,Uduakobong,Nwaeze
Udonsi,Ufuoma,Nwafor
Uduak,Ugochi,Nwali
Uduakobong,Ugochukwu,Nwani
Ufuoma,Uju,Nwankwo
Ugochi,Umukoro,Nwanneka
Ugochukwu,Usiosefe,Nwaosu
Uju,Usman,Obi
Umukoro,Uthman,Obinna
Usiosefe,Uyiosa,Obioha
Usman,Uzochi,Obiora
Uthman,Uzoma,Ogechukwu
Uyiosa,Vincent,Ogechukwukamma
Uzochi,Yahaya,Oghenekaro
Uzoma,Yahya,Oghenekevwe
Vincent,Yalwa,Oghenero
Yahaya,Yaqub,Oghogho
Yahya,Yejide,Ogochukwu
Yalwa,Yewande,Ogunbiyi
Yaqub,Zaynab,Ogundare
Yejide,joe,Ogundele
Yewande,denny,Ogundipe
Zaynab,Britney,Ogunjobi
joe,Iquo,Ogunlade
denny,Blaise,Ogunleye
Britney,Samuel,Ogunmola
Samuel,Mark,Ogunniyi
Blaise,Paulinus,Ogunsola
Mark,Colzy,Ogunyemi
Paulinus,Ekene,Okafor
Colzy,Nagga,Ola
Ekene,Paul,Olabode
Nagga,Perfect,Oladapo
Paul,Margaret,Oladeji
Perfect,Tari,Oladejo
Margaret,Raphael,Oladele
Tari,Phoebe,Oladepo
Raphael,rosseuf,Oladimeji
Phoebe,Susan,Oladipo
rosseuf,Vika,Oladipupo
Susan,Segs,Oladokun
Vika,Victor,Oladosu
Segs,bolavive,Olagunju
Victor,Michael,Olaitan
bolavive,Amanda,Olaiya
Tega,Isaac,Olajide
Michael,Tomilola,Olalekan
Amanda,Esther,Olalere
Isaac,Mariam,Olaleye
Tomilola,Akon,Olanipekun
Esther,Tare,Olaniran
Mariam,Queen,Olaniyan
Akon,Kamaldeen,Olaniyi
Okon,Ralph,Olanrewaju
Udo,Favour,Olaoye
Tare,Sam,Olapade
Queen,Blessing,Olarewaju
Kamaldeen,sharon,Olasunkanmi
Ralph,Emmanuel,Olasupo
Favour,Kenny,Olatunde
Sam,Sodiq,Olatunji
Blessing,Patricia,Olawale
sharon,Preye,Olawuyi
Emmanuel,Rosemary,Olayemi
Kenny,Tina,Olayinka
Sodiq,Grace,Olayiwola
Patricia,kelechi,Olu
Preye,Dean,Olusegun
Rosemary,Walter,Olusola
Tina,Solomon,Oluwafemi
Grace,Christy,Oluwole
kelechi,Justie,Omoniyi
Dean,azeez,Omoragbon
Walter,John,Omoregbe
Solomon,Zoella,Omoruyi
Christy,Goodluck,Omosefe
Justie,Vivian,Omosigho
azeez,Divine,Omotayo
John,Eunice,Omotosho
Zoella,Oni,Omotoso
Esa,Deborah,Omoyemwen
Goodluck,Mfon,Omozuwa
Vivian,Iniobong,Onyekachi
Divine,Pascal,Onyekachukwu
Eunice,Kofi,Onyinye
Oni,Ameerah,Onyinyechi
Deborah,Nzube,Opeyemi
Kofi,Efetobore,Osadebamwen
Pascal,Ubong,Osagiemwenagbon
Ameerah,lateef,Osarenmwindamwen
Nzube,Rose,Osaretin
Efetobore,Charles,Osariemen
Ubong,Zeenat,Osarobo
lateef,Azubuike,Osarodion
Rose,Osasere,Osarumwense
Osagie,Godwin,Osas
Charles,Tini,Osasere
Zeenat,Ini,Osasumwen
Azubuike,Hanson,Osatohanmwen
Godwin,Emmanuel Deborah,Osawe
Tini,Rex,Osayemwenre
Ini,Ijeamaka,Osayimwense
Hanson,Anna,Osayomore
Emmanuel Deborah,Francis,Osayuware
Rex,Gideon,Osaze
Ijeamaka,DeeDee,Osazuwa
Anna,Richard,Osemwengie
Francis,Abigail,Osita
Gideon,David,Ositadimma
DeeDee,Gozie,Otasowie
Richard,Jeremiah,Otobong
Abigail,Onyinye,Oyebamiji
David,Joseph,Oyedeji
Gozie,Amaka,Oyedele
Osaigbovo,Rachael,Oyeleke
Jeremiah,Ridwan,Oyeniyi
Onyinye,Precious,Oyetunji
Joseph,Mary,Oyewole
Amaka,Augustine,Oyibo
Rachael,Molly,Rakiya
Ridwan,Williams,Ruqayya
Precious,Edidiong,Safiya
Mary,Ifeanyi,Safiyya
Augustine,Ene,Salako
Molly,Annie,Salam
Williams,Dorcas,Salami
Ifeanyi,Ejiro,Salau
Annie,Harrison,Salaudeen
Dorcas,Simon,Salawu
Ejiro,Abike,Salawudeen
Harrison,Nasifuddeen,Sale
Simon,Ceader,Saleh
Abike,Ochanya,Salifu
Nasifuddeen,Jack,Salih
Ceader,Redeem,Salihu
Jack,Israel,Salim
Redeem,Aloaye,Salisu
Israel,Ralia,Saliu
Aloaye,ira,Sanda
Ralia,Diana,Sani
