first_m,first_f,last
Sani,Amina,Chukwuemeka
Abdullahi,Safiya,Chukwuka
Abdulkarim,Abubakar,Chukwuma
Aliyu,Lubabatu,Clement
Isah,Kazeem,Dada
Suleiman,Umaru,Dahiru
Hamza,Zainab,Dalhatu
Musa,Fati,Dan
,Rukayya,Daniel
,Bilki,Danlami
,Jamila,Daramola
,Abdulkarim,Dauda
,Aliyu,Daudu
,Hauwa,David
,Habiba,Dayyabu
,Musa,Dennis
,,Dick
,,Dickson
,,Dike
,,Dogo
,,Dominic
,,Dung
,,Duru
,,Ebere
,,Ebong
,,Ede
,,Edeh
,,Edem
,,Edet
,,Edward
,,Effiong
,,Egbe
,,Egbo
,,Egwu
,,Ejeh
,,Ejike
,,Ejiofor
,,Ekanem
,,Eke
,,Ekeh
,,Ekong
,,Ekpe
,,Ekpenyong
,,Ekpo
,,Ekundayo
,,Elechi
,,Elijah
,,Elisha
,,Elom
,,Emeka
,,Emenike
Amina,,Emma
Fatima,,Emmanuel
Habiba,,Ene
Hadiza,,Eneh
Hadizatu,,Eneotu
Muhammadu,,Enyi
Zainab,,Essien
Zainabu,,Etim
Mohammadu,,Etuk
Gambo,Abdullahi,Etukudo
Danjuma,Aminu,Eyo
Habib,Garba,Eze
Muhammad,Habib,Ezeh
Farouq,Hadizatu,Ezekiel
Hussaini,Ibrahim,Ezike
Yakubu,Kabir,Ezugwu
Nura,Muhammad,Fagbemi
Umar,Muhammadu,Falade
Kabiru,Umar,Falalu
Kabir,Zainabu,Faruk
Quadri,Ramatu,Faruku
Mustapha,Fadila,Fasasi
Mansur,Mohammadu,Fatai
Yusuf,Zubaida,Fatima
Morufu,Saadatu,Felix
Salisu,Asmau,Festus
Mahmud,Ummi,Fidelis
Tijjani,Zulaihat,Folarin
Nasiru,Kabiru,Folorunsho
Garba,Quadri,Folorunso
Auwal,Khadija,Francis
Muhammed,Rabiatu,Frank
Adamu,Morufu,Friday
Khabib,Salma,Gabriel
Ciroma,Halima,Galadima
Danladi,Nafisa,Gali
Aminu,Maryam,Gambo
Bashir,Sakina,Gana
Isa,Farida,Ganiu
Lawal,Lami,Ganiyu
Bello,Muhammed,Gbadamosi
Ibrahim,Ciroma,Gbadebo
Shehu,Khabib,George
Ahmad,Hadiza,Gidado
Rabiu,Aisha,Gideon
Abubakar,Binta,Gimba
Kazeem,Fatima,Giwa
Idris,Maimuna,Godwin
Umaru,Murjanatu,Goni
Hassan,Shamsiyya,Goodluck
Sani,Hafsat,Gyang
Abdullahi,Bello,Habiba
Abdulkarim,Hajara,Habibu
Aliyu,Amina,Habila
Isah,Safiya,Habu
Suleiman,Abubakar,Hadiza
Hamza,Lubabatu,Hadizatu
Musa,Kazeem,Haladu
,Umaru,Halidu
,Zainab,Halilu
,Fati,Halima
,Rukayya,Haliru
,Bilki,Halliru
,Jamila,Hamidu
,Abdulkarim,Hamisu
,Aliyu,Hammed
,Hauwa,Hamzat
,Habiba,Haruna
,Musa,Hauwa
,,Hauwau
,,Hayatu
,,Henry
,,Hudu
,,Ibanga
,,Ibe
,,Ibeh
,,Ibekwe
,,Ibikunle
,,Ibitoye
,,Ichendu
,,Idi
,,Idiris
,,Idoko
,,Idowu
,,Idrisu
,,Ieben
,,Ifeanyi
,,Igba
,,Igbo
,,Igboke
,,Ige
,,Igwe
,,Ike
,,Ikechukwu
,,Ikpe
,,Ilesanmi
,,Iliya
,,Iliyasu
,,Ilo
,,Ilori
,,Ilyasu
Amina,,Imam
Fatima,,Ime
Habiba,,Innocent
Hadiza,,Inusa
Hadizatu,,Inuwa
Muhammadu,,Inyang
Zainab,,Isaac
Zainabu,,Isaiah
Mohammadu,,Ishaka
Gambo,,Ishaku
Danjuma,,Ishaq
Habib,,Ishaya
Muhammad,Abdullahi,Ishola
Farouq,Aminu,Isiaka
Hussaini,Garba,Isiya
Yakubu,Habib,Isiyaku
Nura,Hadizatu,Ismail
Umar,Ibrahim,Ismaila
Kabiru,Kabir,Issa
Kabir,Muhammad,Isyaku
Quadri,Muhammadu,Ita
Mustapha,Umar,Iwuchukwu
Mansur,Zainabu,Iwuoha
Yusuf,Ramatu,Jack
Morufu,Fadila,Jackson
Salisu,Mohammadu,Jacob
Mahmud,Zubaida,Jafar
Tijjani,Saadatu,Jafaru
Nasiru,Asmau,James
Garba,Ummi,Jamilu
Auwal,Zulaihat,Jamiu
Muhammed,Kabiru,Jatau
Adamu,Quadri,Jauro
Khabib,Khadija,Jegede
Ciroma,Rabiatu,Jeremiah
Danladi,Morufu,Jibril
Aminu,Salma,Jibrin
Bashir,Halima,Jimmy
Isa,Nafisa,Jimoh
Lawal,Maryam,Job
Bello,Sakina,Joel
Ibrahim,Farida,John
Shehu,Lami,Johnson
Ahmad,Muhammed,Jonah
Rabiu,Ciroma,Jonathan
Abubakar,Khabib,Joseph
Kazeem,Hadiza,Joshua
Idris,Aisha,Josiah
Umaru,Binta,Jubril
Hassan,Fatima,Jude
Sani,Maimuna,Julius
Abdullahi,Murjanatu,Kabiru
Abdulkarim,Shamsiyya,Kadiri
Aliyu,Hafsat,Kaka
Isah,Bello,Kalu
Suleiman,Hajara,Kamilu
Hamza,Amina,Kanu
Musa,Safiya,Kareem
,Abubakar,Kasali
,Lubabatu,Kasim
,Kazeem,Kasimu
,Umaru,Kawu
,Zainab,Kayode
,Fati,Kazeem
,Rukayya,Kehinde
,Bilki,Khalid
,Jamila,Kingsley
,Abdulkarim,Kolade
,Aliyu,Kolawole
,Hauwa,Kolo
,Habiba,Komolafe
,Musa,Labaran
,,Ladan
,,Lamidi
,,Lasisi
,,Lateef
,,Lauwali
,,Lawali
,,Lawan
,,Lawrence
,,Lazarus
,,Liman
,,Linus
,,Lucky
,,Luka
,,Lukman
,,Maazu
,,Madaki
,,Madu
,,Maduka
,,Magaji
,,Mahammad
,,Mahammed
,,Maigari
,,Maina
,,Maji
,,Makinde
,,Malam
,,Malami
,,Mallam
,,Mama
Amina,,Mamman
Fatima,,Mamuda
Habiba,,Mani
Hadiza,,Mansir
Hadizatu,,Manu
Muhammadu,,Marcus
Zainab,,Mark
Zainabu,,Markus
Mohammadu,,Martins
Gambo,,Maryam
Danjuma,,Mathew
Habib,,Mathias
Muhammad,,Mato
Farouq,,Matthew
Hussaini,,Mba
Yakubu,Abdullahi,Mbah
Nura,Aminu,Mbam
Umar,Garba,Michael
Kabiru,Habib,Micheal
Kabir,Hadizatu,Mike
Quadri,Ibrahim,Modu
Mustapha,Kabir,Mohamed
Mansur,Muhammad,Mohammad
Yusuf,Muhammadu,Mohammadu
Morufu,Umar,Mohammed
Salisu,Zainabu,Momodu
Mahmud,Ramatu,Momoh
Tijjani,Fadila,Monday
Nasiru,Mohammadu,Moses
Garba,Zubaida,Moshood
Auwal,Saadatu,Muazu
Muhammed,Asmau,Mubarak
Adamu,Ummi,Mudi
Khabib,Zulaihat,Mukaila
Ciroma,Kabiru,Mukhtar
Danladi,Quadri,Muktar
Aminu,Khadija,Muntari
Bashir,Rabiatu,Muritala
Isa,Morufu,Murtala
Lawal,Salma,Mutari
Bello,Halima,Nafiu
Ibrahim,Nafisa,Nana
Shehu,Maryam,Nasir
Ahmad,Sakina,Nathaniel
Rabiu,Farida,Ndubuisi
Abubakar,Lami,Nduka
Kazeem,Muhammed,Ndukwe
Idris,Ciroma,Nelson
Umaru,Khabib,Ngwu
Hassan,Hadiza,Njoku
Sani,Aisha,Nkomadu
Abdullahi,Binta,Nnadi
Abdulkarim,Fatima,Nnaji
Aliyu,Maimuna,Nnamani
Isah,Murjanatu,Nnamdi
Suleiman,Shamsiyya,Nneji
Hamza,Hafsat,Noah
Musa,Bello,Nuhu
,Hajara,Nura
,Amina,Nurudeen
,Safiya,Nwabueze
,Abubakar,Nwachukwu
,Lubabatu,Nwadike
,Kazeem,Nwaeze
,Umaru,Nwafor
,Zainab,Nwali
,Fati,Nwani
,Rukayya,Nwankwo
,Bilki,Nwaosu
,Jamila,Nweke
,Abdulkarim,Nweze
,Aliyu,Nwibo
,Hauwa,Nwobodo
,Habiba,Nwodo
,Musa,Nwogu
,,Nwokocha
,,Nworie
,,Nwosu
,,Nwoye
,,Nyam
,,Nyong
,,Nze
,,Oba
,,Obasi
,,Obi
,,Obinna
,,Obioha
,,Obiora
,,Obodo
,,Oboh
,,Obot
,,Ode
,,Odeh
,,Odey
,,Odeyemi
,,Odo
,,Odoh
,,Odu
,,Ofem
,,Offor
,,Oga
Amina,,Ogah
Fatima,,Ogar
Habiba,,Ogba
Hadiza,,Ogbe
Hadizatu,,Ogbodo
Muhammadu,,Ogbonda
Zainab,,Ogbonna
Zainabu,,Ogbonnaya
Mohammadu,,Ogbu
Gambo,,Ogu
Danjuma,,Ogunbiyi
Habib,,Ogundare
Muhammad,,Ogundele
Farouq,,Ogundipe
Hussaini,,Ogunjobi
Yakubu,,Ogunlade
Nura,,Ogunleye
Umar,,Ogunmola
Kabiru,Abdullahi,Ogunniyi
Kabir,Aminu,Ogunsola
Quadri,Garba,Ogunyemi
Mustapha,Habib,Ogwuche
Mansur,Hadizatu,Ohakwu
Yusuf,Ibrahim,Oji
Morufu,Kabir,Ojo
Salisu,Muhammad,Ojonjoku
Mahmud,Muhammadu,Okafor
Tijjani,Umar,Oke
Nasiru,Zainabu,Okechukwu
Garba,Ramatu,Okeke
Auwal,Fadila,Okere
Muhammed,Mohammadu,Okereke
Adamu,Zubaida,Okezie
Khabib,Saadatu,Oko
Ciroma,Asmau,Okocha
Danladi,Ummi,Okoh
Aminu,Zulaihat,Okoli
Bashir,Kabiru,Okolie
Isa,Quadri,Okolo
Lawal,Khadija,Okon
Bello,Rabiatu,Okonkwo
Ibrahim,Morufu,Okorie
Shehu,Salma,Okoro
Ahmad,Halima,Okoroafor
Rabiu,Nafisa,Okoronkwo
Abubakar,Maryam,Okoye
Kazeem,Sakina,Okpala
Idris,Farida,Okpara
Umaru,Lami,Okpe
Hassan,Muhammed,Okpo
Sani,Ciroma,Okunola
Abdullahi,Khabib,Ola
Abdulkarim,Hadiza,Olabode
Aliyu,Aisha,Oladapo
Isah,Binta,Oladeji
Suleiman,Fatima,Oladejo
Hamza,Maimuna,Oladele
Musa,Murjanatu,Oladepo
,Shamsiyya,Oladimeji
,Hafsat,Oladipo
,Bello,Oladipupo
,Hajara,Oladokun
,Amina,Oladosu
,Safiya,Olagunju
,Abubakar,Olaitan
,Lubabatu,Olaiya
,Kazeem,Olajide
,Umaru,Olalekan
,Zainab,Olalere
,Fati,Olaleye
,Rukayya,Olanipekun
,Bilki,Olaniran
,Jamila,Olaniyan
,Abdulkarim,Olaniyi
,Aliyu,Olanrewaju
,Hauwa,Olaoye
,Habiba,Olapade
,Musa,Olarewaju
,,Olasunkanmi
,,Olasupo
,,Olatunde
,,Olatunji
,,Olawale
,,Olawuyi
,,Olayemi
,,Olayinka
,,Olayiwola
,,Olisa
,,Olorunfemi
,,Olotu
,,Oloyede
,,Olu
,,Olusegun
,,Olusola
,,Oluwafemi
,,Oluwole
,,Omale
,,Omeh
,,Omoniyi
,,Omoruyi
,,Omotayo
Amina,,Omotosho
Fatima,,Omotoso
Habiba,,Onah
Hadiza,,Oni
Hadizatu,,Onifade
Muhammadu,,Onoja
Zainab,,Onu
Zainabu,,Onuh
Mohammadu,,Onuigbo
Gambo,,Onuoha
Danjuma,,Onuorah
Habib,,Onwe
Muhammad,,Onwuka
Farouq,,Onwukwe
Hussaini,,Onyebuchi
Yakubu,,Onyeka
Nura,,Onyekwere
Umar,,Onyema
Kabiru,,Onyia
Kabir,,Opara
Quadri,,Orji
Mustapha,Abdullahi,Osagie
Mansur,Aminu,Osakwe
Yusuf,Garba,Oseni
Morufu,Habib,Osho
Salisu,Hadizatu,Osi
Mahmud,Ibrahim,Osoji
Tijjani,Kabir,Ossai
Nasiru,Muhammad,Osuji
Garba,Muhammadu,Oti
Auwal,Umar,Otu
Muhammed,Zainabu,Owoeye
Adamu,Ramatu,Owolabi
Khabib,Fadila,Oyebamiji
Ciroma,Mohammadu,Oyedeji
Danladi,Zubaida,Oyedele
Aminu,Saadatu,Oyeleke
Bashir,Asmau,Oyeniyi
Isa,Ummi,Oyetunji
Lawal,Zulaihat,Oyewole
Bello,Kabiru,Ozuru
Ibrahim,Quadri,Pam
Shehu,Khadija,Patrick
Ahmad,Rabiatu,Paul
Rabiu,Morufu,Peter
Abubakar,Salma,Philip
Kazeem,Halima,Pius
Idris,Nafisa,Popoola
Umaru,Maryam,Quadri
Hassan,Sakina,Rabi
Sani,Farida,Rafiu
Abdullahi,Lami,Raheem
Abdulkarim,Muhammed,Raimi
Aliyu,Ciroma,Raji
Isah,Khabib,Rasaki
Suleiman,Hadiza,Rasaq
Hamza,Aisha,Rasheed
Musa,Binta,Reuben
,Fatima,Richard
,Maimuna,Robert
,Murjanatu,Rotimi
,Shamsiyya,Rowland
,Hafsat,Rufai
,Bello,Saad
,Hajara,Saadu
,Amina,Sabiu
,Safiya,Sabo
,Abubakar,Sada
,Lubabatu,Sadi
,Kazeem,Sadiq
,Umaru,Sadiya
,Zainab,Safiyanu
,Fati,Sagir
,Rukayya,Sahabi
,Bilki,Saheed
,Jamila,Said
,Abdulkarim,Saidu
,Aliyu,Saka
,Hauwa,Sam
,Habiba,Samaila
,Musa,Sambo
,,Saminu
,,Sampson
,,Samson
,,Samuel
,,Sarki
,,Segun
,,Shaaibu
,,Shafiu
,,Shaibu
,,Shamsu
,,Shittu
,,Shitu
,,Shuaibu
,,Sidi
,,Sikiru
,,Silas
,,Simon
,,Sirajo
,,Soliu
,,Solomon
Amina,,Stephen
Fatima,,Sulaiman
Habiba,,Sulaimon
Hadiza,,Sule
Hadizatu,,Suleman
Muhammadu,,Sunday
Zainab,,Sunusi
Zainabu,,Surajo
Mohammadu,,Tahir
Gambo,,Taiwo
Danjuma,,Tajudeen
Habib,,Tanimu
Muhammad,,Tanko
Farouq,,Tasiu
Hussaini,,Thomas
Yakubu,,Thompson
Nura,,Tiamiyu
Umar,,Tijani
Kabiru,,Timothy
Kabir,,Titus
Quadri,,Tom
Mustapha,,Tukur
Mansur,,Tunde
Yusuf,,Uba
Morufu,Abdullahi,Ubale
Salisu,Aminu,Ubani
Mahmud,Garba,Uche
Tijjani,Habib,Uchendu
Nasiru,Hadizatu,Ude
Garba,Ibrahim,Udeh
Auwal,Kabir,Udo
Muhammed,Muhammad,Udofia
Adamu,Muhammadu,Udoh
Khabib,Umar,Udom
Ciroma,Zainabu,Ugo
Danladi,Ramatu,Ugochukwu
Aminu,Fadila,Ugwoke
Bashir,Mohammadu,Ugwu
Isa,Zubaida,Ugwuanyi
Lawal,Saadatu,Ugwuoke
Bello,Asmau,Uka
Ibrahim,Ummi,Ukachukwu
Shehu,Zulaihat,Ukaegbu
Ahmad,Kabiru,Uko
Rabiu,Quadri,Ukoma
Abubakar,Khadija,Ukpong
Kazeem,Rabiatu,Umaru
Idris,Morufu,Umeh
Umaru,Salma,Ummar
Hassan,Halima,Ummaru
Sani,Nafisa,Umoh
Abdullahi,Maryam,Umoren
Abdulkarim,Sakina,Umoru
Aliyu,Farida,Umukoro
Isah,Lami,Usaini
Suleiman,Muhammed,Uwakwe
Hamza,Ciroma,Uzoma
Musa,Khabib,Uzor
,Hadiza,Victor
,Aisha,Vincent
,Binta,Wada
,Fatima,Wahab
,Maimuna,Waheed
,Murjanatu,Wakili
,Shamsiyya,Wali
,Hafsat,Wasiu
,Bello,Waziri
,Hajara,West
,Amina,William
,Safiya,Williams
,Abubakar,Wilson
,Lubabatu,Wobo
,Kazeem,Worlu
,Umaru,Wowo
,Zainab,Yahaya
,Fati,Yahuza
,Rukayya,Yahya
,Bilki,Yakub
,Jamila,Yarima
,Abdulkarim,Yaro
,Aliyu,Yau
,Hauwa,Yaya
,Habiba,Yekini
,Musa,Yerima
,,Yinusa
,,Yisa
,,Yohana
,,Yohanna
,,Yunusa
,,Yushau
,,Yusif
,,Yusuff
,,Yusufu
,,Zainab
,,Zainabu
,,Zakari
,,Zakariya
,,Zakariyya
,,Zaki
,,Zayyanu
,,Zubairu
